description,industry,level,size,line_code,value
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Manufacturing,1,total,D0208,2037
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts","Food, beverage, & tobacco",2,total,D0208,435
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts","Textile, clothing, footwear, & leather",2,total,D0208,102
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Wood & paper product,2,total,D0208,249
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts","Printing, publishing, & recorded media",2,total,D0208,63
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts","Petroleum, coal, chemical, & associated product",2,total,D0208,150
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Non-metallic mineral product,2,total,D0208,63
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Metal product,2,total,D0208,306
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Transport and industrial machinery & equipment,2,total,D0208,426
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Other machinery & equipment,2,total,D0208,75
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Other manufacturing,2,total,D0208,162
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts","Electricity, gas, water, & waste services",1,total,D0208,66
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Construction,1,total,D0208,2208
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Wholesale trade,1,total,D0208,1251
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Machinery & equipment wholesaling,2,total,D0208,375
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Other wholesale trade,2,total,D0208,876
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Retail trade,1,total,D0208,2238
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Accommodation & food services,1,total,D0208,1719
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts","Transport, postal, & warehousing",1,total,D0208,423
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Information media & telecommunications,1,total,D0208,138
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Publishing,2,total,D0208,33
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Motion picture,2,total,D0208,69
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Telecommunications,2,total,D0208,33
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Financial & insurance services,1,total,D0208,192
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Finance,2,total,D0208,60
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Insurance,2,total,D0208,6
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Auxiliary,2,total,D0208,129
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts","Rental, hiring, & real estate services",1,total,D0208,357
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts","Professional, scientific, & technical services",1,total,D0208,1989
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Computer systems design,2,total,D0208,258
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Other professional scientific,2,total,D0208,1734
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Administrative & support services,1,total,D0208,480
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Education & training,1,total,D0208,399
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Health care & social assistance,1,total,D0208,693
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Arts & recreation services,1,total,D0208,117
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Other services,1,total,D0208,480
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",total,0,total,D0208,15591
Type of outstanding debt: other,total,0,6–19 employees,D0209,19200
Type of outstanding debt: other,total,0,20–49 employees,D0209,5226
Type of outstanding debt: other,total,0,50–99 employees,D0209,1629
Type of outstanding debt: other,total,0,100+ employees,D0209,1449
Type of outstanding debt: other,"Agriculture, forestry, & fishing",1,total,D0209,1716
Type of outstanding debt: other,Agriculture,2,total,D0209,957
Type of outstanding debt: other,Commercial fishing,2,total,D0209,24
Type of outstanding debt: other,Forestry & logging,2,total,D0209,147
Type of outstanding debt: other,"Agriculture, forestry, & fishing support services",2,total,D0209,588
Type of outstanding debt: other,Mining,1,total,D0209,75
Type of outstanding debt: other,Manufacturing,1,total,D0209,3309
Type of outstanding debt: other,"Food, beverage, & tobacco",2,total,D0209,723
Type of outstanding debt: other,"Textile, clothing, footwear, & leather",2,total,D0209,153
Type of outstanding debt: other,Wood & paper product,2,total,D0209,294
Type of outstanding debt: other,"Printing, publishing, & recorded media",2,total,D0209,126
Type of outstanding debt: other,"Petroleum, coal, chemical, & associated product",2,total,D0209,327
Type of outstanding debt: other,Non-metallic mineral product,2,total,D0209,126
Type of outstanding debt: other,Metal product,2,total,D0209,612
Type of outstanding debt: other,Transport and industrial machinery & equipment,2,total,D0209,564
Type of outstanding debt: other,Other machinery & equipment,2,total,D0209,138
Type of outstanding debt: other,Other manufacturing,2,total,D0209,252
Type of outstanding debt: other,"Electricity, gas, water, & waste services",1,total,D0209,123
Type of outstanding debt: other,Construction,1,total,D0209,3837
Type of outstanding debt: other,Wholesale trade,1,total,D0209,2013
Type of outstanding debt: other,Machinery & equipment wholesaling,2,total,D0209,615
Type of outstanding debt: other,Other wholesale trade,2,total,D0209,1395
Type of outstanding debt: other,Retail trade,1,total,D0209,3273
Type of outstanding debt: other,Accommodation & food services,1,total,D0209,3567
Type of outstanding debt: other,"Transport, postal, & warehousing",1,total,D0209,903
Type of outstanding debt: other,Information media & telecommunications,1,total,D0209,297
Type of outstanding debt: other,Publishing,2,total,D0209,114
Type of outstanding debt: other,Motion picture,2,total,D0209,111
Type of outstanding debt: other,Telecommunications,2,total,D0209,72
Type of outstanding debt: other,Financial & insurance services,1,total,D0209,384
Type of outstanding debt: other,Finance,2,total,D0209,129
Type of outstanding debt: other,Insurance,2,total,D0209,30
Type of outstanding debt: other,Auxiliary,2,total,D0209,228
Type of outstanding debt: other,"Rental, hiring, & real estate services",1,total,D0209,606
Type of outstanding debt: other,"Professional, scientific, & technical services",1,total,D0209,3195
Type of outstanding debt: other,Computer systems design,2,total,D0209,615
Type of outstanding debt: other,Other professional scientific,2,total,D0209,2580
Type of outstanding debt: other,Administrative & support services,1,total,D0209,1068
Type of outstanding debt: other,Education & training,1,total,D0209,621
Type of outstanding debt: other,Health care & social assistance,1,total,D0209,1533
Type of outstanding debt: other,Arts & recreation services,1,total,D0209,300
Type of outstanding debt: other,Other services,1,total,D0209,678
Type of outstanding debt: other,total,0,total,D0209,27501
Collateral for financing: business assets: yes,total,0,6–19 employees,D0301.01,8886
Collateral for financing: business assets: yes,total,0,20–49 employees,D0301.01,3093
Collateral for financing: business assets: yes,total,0,50–99 employees,D0301.01,945
Collateral for financing: business assets: yes,total,0,100+ employees,D0301.01,678
Collateral for financing: business assets: yes,"Agriculture, forestry, & fishing",1,total,D0301.01,1785
Collateral for financing: business assets: yes,Agriculture,2,total,D0301.01,1185
Collateral for financing: business assets: yes,Commercial fishing,2,total,D0301.01,15
Collateral for financing: business assets: yes,Forestry & logging,2,total,D0301.01,192
Collateral for financing: business assets: yes,"Agriculture, forestry, & fishing support services",2,total,D0301.01,393
Collateral for financing: business assets: yes,Mining,1,total,D0301.01,36
Collateral for financing: business assets: yes,Manufacturing,1,total,D0301.01,1785
Collateral for financing: business assets: yes,"Food, beverage, & tobacco",2,total,D0301.01,429
Collateral for financing: business assets: yes,"Textile, clothing, footwear, & leather",2,total,D0301.01,78
Collateral for financing: business assets: yes,Wood & paper product,2,total,D0301.01,222
Collateral for financing: business assets: yes,"Printing, publishing, & recorded media",2,total,D0301.01,45
Collateral for financing: business assets: yes,"Petroleum, coal, chemical, & associated product",2,total,D0301.01,102
